0 8 744
0 8 744
0 7 744
0 8 744
0 9 744
0 7 744
0 7 744
0 8 744
0 9 744
0 8 744
0 8 744
0 8 744
0 8 744
0 7 744
0 8 744
0 8 744
0 8 744
0 9 744
0 8 744
0 9 744
0 7 744
1 10 657
1 10 686
1 10 684
1 14 651
1 12 749
1 13 686
1 11 666
1 16 686
1 13 749
1 11 651
1 12 714
1 13 616
1 11 686
1 16 651
1 12 686
1 14 686
1 10 658
1 10 686
1 12 686
1 10 655
1 15 616
2 10 590
2 18 756
2 19 767
2 20 528
2 16 678
2 19 672
2 19 764
2 18 768
2 17 636
2 16 590
2 16 732
2 14 640
2 19 728
2 18 768
2 17 670
2 18 620
2 17 558
2 18 696
2 15 558
2 15 676
2 20 718
3 10 604
3 13 528
3 13 603
3 12 528
3 15 549
3 13 642
3 15 599
3 13 689
3 14 663
3 12 696
3 12 588
3 16 696
3 17 768
3 16 701
3 14 672
3 13 558
3 16 768
3 14 552
3 17 768
3 15 636
3 14 766
4 10 697
4 19 640
4 15 635
4 20 645
4 22 640
4 17 473
4 17 560
4 15 612
4 17 439
4 15 596
4 20 640
4 16 640
4 22 621
4 16 640
4 17 537
4 19 605
4 19 587
4 19 560
4 18 640
4 20 596
4 16 557
5 10 595
5 20 640
5 18 625
5 17 640
5 20 640
5 19 640
5 19 625
5 17 604
5 15 541
5 18 640
5 15 556
5 16 550
5 14 559
5 18 640
5 19 640
5 17 628
5 16 539
5 16 559
5 20 640
5 16 519
5 18 613
6 10 617
6 15 580
6 17 440
6 14 635
6 14 478
6 15 538
6 16 621
6 16 640
6 18 640
6 17 640
6 17 440
6 16 638
6 17 440
6 17 528
6 15 640
6 18 640
6 14 630
6 15 512
6 18 640
6 16 640
6 17 640
7 10 609
7 15 604
7 17 640
7 15 502
7 17 640
7 15 625
7 19 640
7 17 640
7 16 632
7 16 640
7 16 640
7 15 511
7 17 614
7 15 640
7 15 584
7 23 513
7 16 640
7 15 467
7 16 640
7 20 640
7 20 640
8 10 553
8 20 472
8 17 480
8 24 550
8 20 387
8 15 511
8 18 357
8 20 498
8 17 512
8 18 512
8 24 512
8 17 361
8 18 513
8 19 512
8 17 506
8 17 512
8 16 509
8 17 519
8 18 454
8 18 512
8 19 489
9 10 494
9 17 511
9 17 479
9 20 512
9 17 512
9 16 507
9 18 512
9 18 512
9 19 512
9 17 512
9 18 512
9 17 429
9 16 416
9 15 433
9 19 512
9 18 511
9 20 512
9 21 507
9 16 440
9 18 512
9 22 512
10 10 499
10 17 512
10 18 512
10 19 512
10 20 513
10 21 512
10 22 512
10 18 512
10 18 512
10 17 512
10 18 512
10 18 384
10 22 512
10 19 512
10 17 480
10 17 512
10 21 512
10 23 512
10 21 507
10 17 415
10 20 476
11 10 493
11 16 464
11 18 512
11 21 512
11 18 512
11 17 514
11 16 499
11 18 512
11 19 432
11 16 456
11 16 496
11 16 512
11 20 512
11 19 320
11 16 478
11 30 492
11 18 512
11 27 511
11 17 433
11 22 517
11 25 512
12 10 502
12 16 512
12 19 512
12 18 512
12 17 339
12 16 500
12 16 512
12 19 354
12 15 512
12 19 512
12 18 512
12 16 509
12 22 503
12 61 487
12 16 512
12 18 512
12 19 512
12 22 512
12 21 500
12 16 498
12 25 512
13 10 512
13 20 512
13 16 512
13 18 512
13 21 512
13 16 498
13 15 512
13 18 512
13 18 512
13 16 512
13 17 512
13 19 512
13 16 511
13 16 512
13 19 512
13 19 512
13 17 512
13 17 512
13 18 512
13 16 512
13 17 512
14 10 490
14 19 472
14 18 512
14 18 512
14 19 512
14 16 512
14 22 387
14 16 466
14 16 512
14 21 512
14 19 512
14 16 336
14 16 512
14 16 512
14 20 512
14 20 512
14 16 512
14 16 512
14 21 352
14 16 512
14 16 512
15 10 460
15 15 387
15 17 512
15 20 512
15 16 512
15 16 512
15 19 511
15 16 512
15 16 509
15 22 512
15 18 512
15 16 511
15 20 512
15 16 512
15 17 512
15 18 398
15 17 505
15 16 511
15 16 512
15 16 512
15 19 512
16 10 367
16 20 384
16 30 388
16 23 374
16 16 357
16 20 384
16 22 390
16 24 441
16 19 439
16 20 384
16 21 424
16 16 384
16 20 354
16 26 404
16 23 382
16 20 443
16 21 384
16 26 393
16 21 382
16 22 384
16 25 386
17 10 379
17 20 381
17 30 379
17 21 384
17 20 380
17 19 380
17 19 384
17 24 393
17 24 384
17 16 384
17 20 400
17 22 387
17 18 392
17 18 384
17 26 415
17 22 384
17 19 371
17 17 383
17 19 384
17 20 384
17 16 384
18 10 395
18 17 384
18 19 384
18 22 384
18 21 381
18 20 384
